Smartfilters,Group / Team,,,Asset Type,,,,Product,,,,,,,,Details,,,,Campaign,,Year,,,,,,,Remove,,
Metaproperties,Group,Client Team (brand),Dependency,Asset Type,Asset Subtype,Dependency,File Extension,Product Group,Dependency (on Client Team),Product,Dependency (on Client Team),Product Subtype,Dependency (on Product),Product Size,Dependency (on Product Group),Sport,Person,Gender,Number of People,Campaign,Dependency (on brand),Year,Platform Rights,Job ID,Shot Type,Market,Team Marks,Asset Status,Asset Quality,Product Gender,Dependency (on brand)
,,,,,,,,Baseball,New Balance,Symmetry Plus Patient Room Recliner,Styker,,,,,,Francisco Lindor,,,,,,,,,,,,,,
,,,,,,,,Skateboarding,New Balance,Symmetry Plus Treatment Recliner,Styker,,,,,,Aaron Ramsey,,,,,,,,,,,,,,
,,,,,,,,Hiking & Trail,New Balance,Symmetry II Recliner Bed,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Boots,New Balance,Symmetry II Sleepers,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Soccer,New Balance,Bariatric Chair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tennis,New Balance,SpareChair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Golf,New Balance,Nara Bassinet,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lacrosse,New Balance,Drop-Leaf Table,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Work Shoes,New Balance,Delivery Cart,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Basketball,New Balance,Monitor Cart,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sandals,New Balance,Bassinet,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Casuals,New Balance,SPR-Plus,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Soft Ball,New Balance,SofCare Overlay,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Endurance,Gatorade,DuoGard,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Equipment,Gatorade,Universal Heel Boot,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gx,Gatorade,The Elite Heel Boot,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Heritage,Gatorade,SofCare Bariatric Chair Cushion,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sports Fuel Innovation Betas,Gatorade,SofCare Chair Cushion,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Prime Serie Stretchers,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Prime X Stretcher,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Prime TC Transport Chair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cub Pediatric Crib,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gynnie OB/GYM Stretcher,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fluoroscopy Stretcher,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Eye Surgery Stretcher,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Surgistool Surgical Seating,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Eye Stretcher Chair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Stretcher chair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Altrix Precision Temperature Management System,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mistral-Air Forced Air Warming System,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,T/Pump Localized Therapy,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Rapr.Rounds Hyper/Hypothermia Wraps,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,IsoFlex SE Support Surface,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ComfortGel SE Support Surface,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ultra Comfort SE,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SofCare Stretcher Overlay,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Power-Pro XT,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Power-LOAD,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,X-retraints,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,XPS siderails,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SMRT Battery Kit,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Knee-gatch,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Steer-lock,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Performance-LOAD,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Performance-PRO XT,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Evacuation Chair,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Transfer Flat,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Stair-PRO,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Power-PRO IT,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,MX-PRO Bariatric Transport,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,MX-PRO R3,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Floor or Wall Mounts,Styker,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Berry,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Black Cherry,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Blueberry Pomegranate,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cranberry Lime,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Grape,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mandarin Orange,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Kiwi Strawberry,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Peach,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Lemon,Propel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fresh Foam,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Vazee,New Balance,,,,,,,,,,,,,,,,,,,,
